name;type;state;city;period_from;period_to;grant;id;applicant;use_case;additional_topics;description;dim_1;dim_2;dim_3;dim_4;dim_5;dim_6;dim_7;dim_8
Prozessdigitalisierung;Modellprojekt (MP);Niedersachsen;Rotenburg (Wümme);01.10.2022;30.09.2024;463.280,00;NI-P512MP10133;Landkreis Rotenburg (Wümme) - Gesundheitsamt;Trink- und Badewasserprüfung, Belehrung;ISGA;;false;false;true;false;false;false;false;true
Aufbau eines Impf-Informations-Systems (IISAAR);Ein Land für Alle (ELFA);Saarland;Saarbrücken;01.10.2022;30.09.2024;2.398.000,00;SL-P512LM10E45;Ministerium für Arbeit, Soziales, Frauen und Gesundheit (MASFG);Impfungen, Berichterstattung & Monitoring;;Mit dem Projekt soll erstmalig die Implementierung eines Impf-Informations-Systems (IIS) im Saarland und den kooperierenden Bundesländern Baden-Württemberg, Brandenburg und Bayern erfolgen. Zudem soll eine gesetzliche Grundlage zur datenschutzkonformen Nutzung und Verknüpfung von Impfdaten geschaffen werden. Das IIS soll als Modell für Deutschland aufgebaut und im Saarland pilotiert werden. Im Rahmen der Projektlaufzeit wird der Schwerpunkt auf Covid-19 Impfungen gelegt, jedoch sollen im Sinne der Nachhaltigkeit auch alle anderen STIKO-empfohlenen Impfungen berücksichtigt werden. Zur Einführung soll das französische Impfmanagementsystem mesvaccines als Grundlage zum Einsatz kommen. Dieses bietet Nutzer:innen eine digitale Übersicht ihrer Impfungen (und von Angehörigen) mit den entsprechenden Möglichkeiten zur Erinnerung an überfällige Impfungen. Im Rahmen des Projektes werden der Infektionsschutz sowie die Themen IT-Sicherheit und Interoperabilität in den jeweiligen Maßnahmen konkret adressiert. So wird eine qualitative Verbesserung in den jeweiligen Themenbereichen sichergestellt.;true;true;true;false;true;true;true;true
Geschäftsstelle für die Digitalisierung des ÖGD in Niedersachsen;Ländermaßnahme (LM);Niedersachsen;Hannover;01.10.2022;30.09.2024;3.017.500,00;NI-P512LM10027;Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung;Impfungen, Berichterstattung & Monitoring;;Zur Sicherstellung einer kohärenten Umsetzung und Weiterentwicklung der Digitalisierungsstrategie für den Öffentlichen Gesundheitsdienst (ÖGD) in Niedersachsen soll eine koordinierende Geschäftsstelle für die Digitalisierung des ÖGD in Niedersachsen eingerichtet werden, die als zentrale Kontaktstelle (Single-Point-of-Contact) die Einrichtungen des ÖGD in Niedersachsen auch bei der Umsetzung von Maßnahmen im Kontext des Förderprogramms Digitalisierung des Pakts ÖGD unterstützt und begleitet. Eine Verbesserung des Infektionsschutzes wird durch die einzelnen Landesprojekte verfolgt und durch die begleitende Unterstützung der Geschäftsstelle sowie damit verbundener strategischer Ausrichtung proaktiv zusätzlich gefördert.;true;true;false;false;false;false;true;false
Anbindung SurvNet an die Climedo-Module für Covid-19 und weitere meldepflichtige Infektionskrankheiten;Modellprojekt (MP);Mecklenburg-Vorpommern;Rostock;01.10.2022;30.09.2024;164.071,25;MV-P512MP10045;Gesundheitsamt der Hanse- und Universitätsstadt Rostock;;Climedo, Survnet;;true;false;false;false;false;false;false;true
Digitalisierung Gesundheitsamt Haßberge;Modellprojekt (MP);Bayern;Haßfurt;01.10.2022;30.09.2024;513.000,00;BY-P512MP10130;"Landkreis Haßberge; Gesundheitsamt";Trink- und Badewasserprüfung, Gesundheitsberatung, Berichterstattung & Monitoring;Äskulab;;false;false;true;false;true;false;false;false
"ÖGD in Neu-Ulm: ""Drei”-Dimensions-Strategie DIA@NU: Digitalisierungsstrategie (dia@NU), ÖGD-interne Prozessautomatisierung (pia@NU), Interaktive Bürger-Kommunikation (kia@NU)";Modellprojekt (MP);Bayern;Neu-Ulm;01.10.2022;30.09.2024;920.270,14;BY-P512MP10123;Öffentlicher Gesundheitsdienst des Landkreises Neu-Ulm;Trink- und Badewasserprüfung, Gesundheitsberatung;Sormas, DEMIS, RPA;;false;false;true;false;true;true;false;true
Modernisierung und Digitalisierung des Öffentlichen Gesundheitsdienstes im Landkreis Märkisch-Oderland;Modellprojekt (MP);Brandenburg;Seelow;01.10.2022;30.09.2024;534.067,00;BB-P512MP10226;Landkreis Märkisch-Oderland;;Sormas, ISGA;;false;true;false;false;false;true;false;false
Einführung Fachsoftware für digitales Arbeiten;Modellprojekt (MP);Mecklenburg-Vorpommern;Neubrandenburg;01.10.2022;30.09.2024;623.220,66;MV-P512MP10091;Landkreis Mecklenburgische Seenplatte;Trink- und Badewasserprüfung;Sormas;;false;true;false;false;false;false;false;true
Meilensteine zum Digitalen Gesundheitsamt 2025;Modellprojekt (MP);Niedersachsen;Winsen;01.09.2022;31.08.2024;684.741,00;NI-P512MP10105;Landkreis Harburg;Gesundheitsberatung;ISGA;;false;false;true;false;false;true;true;true
Digitales Gesundheitsamt der Stadt Salzgitter;Modellprojekt (MP);Niedersachsen;Salzgitter;01.10.2022;30.09.2024;536.037,60;NI-P512MP10153;Gesundheitsamt der Stadt Salzgitter;;Sormas;;false;false;true;true;false;false;false;false
Gesundheitsdienste Northeim – Start in ein neues Zeitalter;Modellprojekt (MP);Niedersachsen;Northeim;01.10.2022;30.09.2024;588.861,23;NI-P512MP10199;Landkreis Northeim, Fachbereich 16 - Gesundheitsdienste;;Äskulab, enaio/mikado/mikropro;;true;true;false;false;false;false;false;false
Digitales Gesundheitsamt 2025 – Prozessoptimierung und Bürger:innenzentrierung im Gesundheitsamt Braunschweig;Modellprojekt (MP);Niedersachsen;Braunschweig;01.10.2022;30.09.2024;885.230,00;NI-P512MP10198;Stadt Braunschweig, Fachbereich Soziales und Gesundheit, Gesundheitsamt;Trink- und Badewasserprüfung, Schuleingangsuntersuchung, Berichterstattung & Monitoring;;;true;true;false;false;false;false;false;false
Steigerung der digitalen Reife des Fachdienstes Gesundheit (Gesundheitsamt) des Kreises Schleswig-Flensburg;Modellprojekt (MP);Schleswig-Holstein;Schleswig;01.10.2022;30.09.2024;801.881,25;SH-P512MP10144;Kreis Schleswig-Flensburg, Der Landrat, Fachdienst Gesundheit;;DEMIS, PICTURE, enaio/mikado/mikropro;;true;false;true;false;true;false;false;false
Gesundheitsamt #einfach.digital;Modellprojekt (MP);Niedersachsen;Nordhorn;01.10.2022;30.09.2024;492.000,00;NI-P512MP10053;Landkreis Grafschaft Bentheim;;RPA;;true;false;true;false;false;false;false;false
Digitalisierungskonzept für das GA mit Schwerpunkt mobiles Arbeiten;Modellprojekt (MP);Niedersachsen;Brake;01.10.2022;30.09.2024;226.858,93;NI-P512MP10046;Landkreis Wesermarsch;;ISGA;;true;false;false;true;false;false;false;false
Public Health digital gedacht - Der Landkreis Osterholz unterwegs zum digitalen Gesundheitsamt 2.0;Modellprojekt (MP);Niedersachsen;Osterholz-Scharmbeck;01.10.2022;30.09.2024;332.000,00;NI-P512MP10035;Landkreis Osterholz;;ISGA;;true;false;false;false;false;true;false;false
Partizipative Prozessdokumentation und -optimierung im Gesundheitsamt des Heidekreises;Modellprojekt (MP);Niedersachsen;Bad Fallingbostel;01.10.2022;30.09.2024;300.400,00;NI-P512MP10016;Landkreis Heidekreis;;;;true;true;false;false;false;false;false;false
"Einführung eines ganzheitlichen Prozessmanagements für die digitale Transformation des Gesundheitsamtes für die Stadt und den Landkreis Göttingen (GA Göttingen); Aufstellung eines Prozesskataloges incl. Bewertung des Digitalisierungspotenzials sowie Optimierung und Digitalisierung von drei hoch priorisierten Prozessen. Dies unter Berücksichtigung eines IT-Sicherheitskonzeptes für das GA Göttingen.";Modellprojekt (MP);Niedersachsen;Göttingen;01.08.2022;31.07.2024;910.160,00;NI-P512MP10090;Gesundheitsamt für Stadt und Landkreis Göttingen;;PICTURE;;false;false;true;false;false;true;false;false
Digitale BegleiterInnen im Fachdienst Gesundheit;Modellprojekt (MP);Niedersachsen;Verden;01.10.2022;30.09.2024;416.280,00;NI-P512MP10171;Landkreis Verden, Fachdienst Gesundheit;Impfungen;enaio/mikado/mikropro;;false;true;false;false;false;true;false;false
Modernisierung und Digitalisierung des Öffentlichen Gesundheitsdienstes im Landkreis Spree-Neiße/Wokrejs Sprjewja-Nysa;Modellprojekt (MP);Brandenburg;Forst (Lausitz);01.10.2022;30.09.2024;425.575,90;BB-P512MP10080;Landkreis Spree-Neiße/Wokrejs Sprjewja-Nysa;;Octoware;;false;true;true;false;false;false;false;false
